location_name,month,precipitation,temperature
Colombo,9,4035.998,26.30073
Colombo,8,3246.5005,26.502304
Colombo,7,3037.401,26.744003
Colombo,6,4145.4004,26.937384
Colombo,5,5398.8022,27.285143
Colombo,4,2675.6992,27.515537
Colombo,3,1653.0997,27.441933
Colombo,2,1080.1,26.841742
Colombo,12,3027.4001,25.684788
Colombo,11,5267.7007,25.792143
Colombo,10,5353.5986,26.126728
Colombo,1,1275.4001,26.05893
Gampaha,1,1274.2997,26.0828
Gampaha,11,5124.5034,25.613567
Gampaha,12,2904.9983,25.579512
Gampaha,2,1111.6,27.011312
Gampaha,3,1759.8994,27.476131
Gampaha,4,2892.599,27.326647
Gampaha,5,5107.7007,26.988382
Gampaha,6,3992.4998,26.601397
Gampaha,7,3072.6,26.467728
Gampaha,8,3202.999,26.227411
Gampaha,9,4020.6982,26.019741
Gampaha,10,5465.2983,25.862434
Kalutara,9,3990.5005,26.2269
Kalutara,8,3128.3003,26.408754
Kalutara,7,3008.5986,26.628565
Kalutara,6,3945.502,26.831778
Kalutara,5,5445.7007,27.12561
Kalutara,4,2734.3,27.275108
Kalutara,3,1700.5001,27.13483
Kalutara,2,1168.1998,26.509203
Kalutara,12,2934.1006,25.688715
Kalutara,11,4996.398,25.77762
Kalutara,10,5228.8994,26.060825
Kalutara,1,1319.4996,25.869474
Kandy,1,1412.1,22.735691
Kandy,9,1815.4996,23.63047
Kandy,8,2020.2001,23.710604
Kandy,7,1752.2991,23.89354
Kandy,6,1637.0004,24.193455
Kandy,5,3023.3003,24.678703
Kandy,4,2846.402,25.233997
Kandy,3,1274.8995,24.977015
Kandy,2,1122.0,23.588669
Kandy,12,3215.9004,22.721428
Kandy,11,4457.5005,23.047386
Kandy,10,5275.9004,23.413836
Matale,9,2056.0996,24.834057
Matale,8,2111.2996,24.96129
Matale,7,1767.4995,25.098167
Matale,6,1735.9993,25.263788
Matale,5,3540.199,25.67547
Matale,4,3037.3977,26.230015
Matale,3,1084.3999,26.015047
Matale,2,1109.6001,24.403769
Matale,12,3137.0015,23.587103
Matale,11,4857.603,23.967148
Matale,10,5675.5996,24.492163
Matale,1,1624.4996,23.532682
Nuwara Eliya,9,3064.6985,16.57619
Nuwara Eliya,8,3129.5999,16.581799
Nuwara Eliya,7,2657.6013,16.722584
Nuwara Eliya,6,2215.6997,17.027102
Nuwara Eliya,5,4029.9006,17.606236
Nuwara Eliya,4,2848.4993,17.443111
Nuwara Eliya,2,1522.5995,16.262266
Nuwara Eliya,12,3693.3003,16.006218
Nuwara Eliya,11,4671.2017,16.307848
Nuwara Eliya,10,5717.399,16.471659
Nuwara Eliya,1,2087.9995,15.777205
Nuwara Eliya,3,1296.3999,17.018927
Galle,1,1748.0999,25.718506
Galle,8,3041.2012,26.468206
Galle,7,2703.3982,26.670969
Galle,6,3175.6997,26.914965
Galle,5,4955.898,27.201933
Galle,4,2582.4001,27.30689
Galle,3,1577.1997,27.046661
Galle,2,1614.4991,26.272879
Galle,12,3100.4004,25.813135
Galle,11,4888.9995,25.953815
Galle,10,4196.4,26.180405
Galle,9,3772.3,26.29738
Matara,9,3030.7983,26.391191
Matara,8,2153.9006,26.49355
Matara,7,1926.4998,26.70991
Matara,6,2208.7002,26.972898
Matara,5,3828.4985,27.340654
Matara,4,2116.0994,27.47845
Matara,3,1230.1998,27.215267
Matara,2,1111.1003,26.509922
Matara,12,2645.5012,26.016138
Matara,11,3928.8,26.159527
Matara,10,3505.102,26.32651
Matara,1,1347.7992,25.948376
